,candidate,full_name,year,url_name,votes,winner,%_votes_state,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,incumbent,social,economic,party,x_pca,y_pca,8_clusters,state,state_full,pred,error,winner_pred,is_correct,battleground,relative_marginalchange_impact,relative_impact_voters,relative_impact_donation,win_prob_candidate
70,Deborah Ross,Deborah_Ross,2016,http://www.ontheissues.org/Senate/Deborah_Ross.htm,2102666.0,0,0.453,-5.0,-5.0,-5.0,0.0,-2.5,-5.0,-2.5,5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,2.5,-5.0,2.5,-2.5,-2.5,-5.0,0.0,-17.5,-42.5,D,14.8085617004,4.58092838613,2,NC,North Carolina,0.4469,-0.0061,0,1,0,1.08971872804,0.605713818731,1.79906532481,0.217397502606
77,Eliot Glassheim,Eliot_Glassheim,2016,http://www.ontheissues.org/Senate/Eliot_Glassheim.htm,57976.0,0,0.17,-2.5,0.0,-5.0,0.0,-2.5,-5.0,0.0,0.0,2.5,2.5,0.0,-5.0,0.0,0.0,0.0,-5.0,5.0,-5.0,0.0,-5.0,0.0,-10.0,-15.0,D,7.89587456267,-2.68517425529,1,ND,North Dakota,0.316,0.146,0,1,0,0.279543097548,7.8453774235,0.0356315677957,0.0339820320259
82,Evan Bayh,Evan_Bayh,2016,http://www.ontheissues.org/Senate/Evan_Bayh.htm,1157799.0,0,0.424,-2.5,-5.0,-5.0,2.5,-5.0,0.0,-5.0,-5.0,-2.5,-2.5,-5.0,-2.5,2.5,-2.5,2.5,-5.0,2.5,-2.5,-2.5,-5.0,0.0,-17.5,-30.0,D,12.6712121137,-0.89589816605,1,IN,Indiana,0.5107,0.0867,1,0,0,1.2797485013,0.913495730479,1.40093539422,0.704368367316
83,Foster Campbell,Foster_Campbell,2016,http://www.ontheissues.org/Senate/Foster_Campbell.htm,337682.0,0,0.175,0.0,-5.0,0.0,0.0,-2.5,0.0,-5.0,0.0,2.5,0.0,5.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,-2.5,-7.5,D,3.23690979249,0.24171743008,4,LA,Louisiana,0.3568,0.1818,0,1,1,1.35378724949,1.31113448582,1.03253118893,0.337488939549
84,Frank Gilbert,Frank_Gilbert,2016,http://www.ontheissues.org/Senate/Frank_Gilbert.htm,43720.0,0,0.04,2.5,5.0,-5.0,2.5,5.0,2.5,5.0,-2.5,-2.5,5.0,5.0,-2.5,2.5,5.0,-2.5,-2.5,-5.0,2.5,-2.5,2.5,0.0,-20.0,40.0,L,-5.18136553348,7.20765481018,6,AR,Arkansas,0.02,-0.02,0,1,0,,2.06895428482,,
99,James Lankford,James_Lankford,2016,http://www.ontheissues.org/Senate/James_Lankford.htm,979728.0,1,0.677,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,-5.0,5.0,5.0,5.0,2.5,5.0,5.0,-2.5,5.0,5.0,0.0,2.5,1.0,27.5,45.0,R,-16.8869384837,5.41361145833,3,OK,Oklahoma,0.6617,-0.0153,1,1,0,0.502390018358,1.598027899,0.314381256218,0.929127295598
100,Jason Kander,Jason_Kander,2016,http://www.ontheissues.org/Senate/Jason_Kander.htm,1283222.0,0,0.462,-5.0,-2.5,-5.0,0.0,-5.0,-2.5,5.0,-5.0,-2.5,-5.0,2.5,-2.5,-2.5,-2.5,2.5,-2.5,-2.5,-5.0,2.5,-2.5,0.0,-20.0,-20.0,D,10.9103737765,-1.22825051172,1,MO,Missouri,0.4214,-0.0406,0,1,0,1.03038432607,0.982505798331,1.04873103835,0.197746064393
102,Jay Williams,Jay_Williams,2016,http://www.ontheissues.org/Senate/Jay_Williams.htm,104125.0,0,0.282,-5.0,-5.0,0.0,0.0,-5.0,2.5,-5.0,0.0,-5.0,-2.5,-5.0,-5.0,0.0,-5.0,0.0,-2.5,-2.5,-5.0,-2.5,0.0,0.0,-22.5,-30.0,D,12.9357155924,4.86328925154,2,SD,South Dakota,0.4095,0.1275,0,1,0,0.598483768846,7.00309397317,0.0854599083118,0.0893259589305
108,Jerry Moran,Jerry_Moran,2016,http://www.ontheissues.org/Senate/Jerry_Moran.htm,716661.0,1,0.624,5.0,-2.5,5.0,5.0,2.5,5.0,2.5,2.5,2.5,5.0,5.0,2.5,5.0,5.0,2.5,-2.5,5.0,5.0,5.0,2.5,1.0,32.5,35.0,R,-14.0910210379,-3.2315384311,0,KS,Kansas,0.5739,-0.0501,1,1,0,0.942692330116,2.16053683489,0.436323192872,0.828599930865
109,Jerry Sturgill,Jerry_Sturgill,2016,http://www.ontheissues.org/Senate/Jerry_Sturgill.htm,188104.0,0,0.278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,-2.5,0.0,-2.5,0.0,2.5,0.0,-7.5,5.0,D,1.6932966172,0.641919888551,4,ID,Idaho,0.3472,0.0692,0,1,0,0.635297475959,3.79787650015,0.16727702334,0.0968404915943
110,Jim Barksdale,Jim_Barksdale,2016,http://www.ontheissues.org/Senate/Jim_Barksdale.htm,1565006.0,0,0.408,-2.5,-5.0,0.0,-2.5,-5.0,-5.0,-5.0,0.0,0.0,5.0,0.0,-5.0,-5.0,-5.0,5.0,-5.0,-5.0,-5.0,0.0,0.0,0.0,-15.0,-30.0,D,10.9656345684,1.71486435386,1,GA,Georgia,0.3832,-0.0248,0,1,0,0.901826353322,0.637326179262,1.41501539191,0.160043722005
112,Jim Gray,Jim_Gray,2016,http://www.ontheissues.org/Senate/Jim_Gray.htm,813222.0,0,0.427,0.0,-5.0,-5.0,0.0,-2.5,-5.0,-2.5,2.5,0.0,-2.5,0.0,0.0,2.5,-2.5,2.5,-5.0,5.0,5.0,-5.0,-2.5,0.0,-5.0,-15.0,D,5.76317264986,3.35506831399,4,KY,Kentucky,0.4037,-0.0233,0,1,0,1.02364934561,1.35286957658,0.756650429081,0.195616120717
117,Joe Heck,Joe_Heck,2016,http://www.ontheissues.org/Senate/Joe_Heck.htm,494427.0,0,0.447,5.0,-2.5,2.5,0.0,5.0,5.0,5.0,2.5,2.5,5.0,5.0,2.5,-2.5,2.5,2.5,-5.0,2.5,5.0,-2.5,2.5,0.0,12.5,30.0,R,-10.5500675939,5.33175674208,6,NV,Nevada,0.4331,-0.0139,0,1,1,1.43677347254,2.25695647974,0.636597774677,0.405846505203
121,Joe Miller,Joe_Miller,2016,http://www.ontheissues.org/Senate/Joe_Miller.htm,74245.0,0,0.295,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.5,5.0,5.0,5.0,2.5,0.0,2.5,2.5,5.0,5.0,2.5,5.0,0.0,40.0,42.5,L,-17.5091473319,2.83014146378,3,AK,Alaska,0.042,-0.253,0,1,0,,8.52724820281,,
125,John Boozman,John_Boozman,2016,http://www.ontheissues.org/Senate/John_Boozman.htm,657856.0,1,0.598,5.0,2.5,5.0,5.0,5.0,5.0,5.0,2.5,5.0,5.0,5.0,5.0,5.0,5.0,2.5,-2.5,5.0,5.0,5.0,2.5,1.0,37.5,45.0,R,-17.1993487881,-2.73200230324,0,AR,Arkansas,0.5825,-0.0155,1,1,0,0.897950971396,2.06895428482,0.434011992428,0.841006029198
127,John Carroll,John_Carroll,2016,http://www.ontheissues.org/Senate/John_Carroll.htm,92620.0,0,0.223,5.0,0.0,-2.5,0.0,2.5,5.0,-2.5,-5.0,-5.0,0.0,5.0,2.5,5.0,-2.5,5.0,5.0,2.5,5.0,0.0,-2.5,0.0,7.5,15.0,R,-3.93076980976,3.21534079546,5,HI,Hawaii,0.5442,0.3212,0,1,1,1.42995449174,4.35890644962,0.328053494211,0.398413538463
