,candidate,full_name,year,url_name,votes,winner,%_votes_state,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,incumbent,social,economic,party,x_pca,y_pca,8_clusters,state,state_full,pred,error,winner_pred,is_correct,battleground,relative_marginalchange_impact,relative_impact_voters,relative_impact_donation,win_prob_candidate
218,Patty Murray,Patty_Murray,2016,http://www.ontheissues.org/Senate/Patty_Murray.htm,1765333.0,1,0.591,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-2.5,-5.0,-5.0,-5.0,5.0,-5.0,2.5,-2.5,-2.5,-5.0,-5.0,-5.0,1.0,-35.0,-40.0,D,19.204453376,2.47982321425,2,WA,Washington,0.5716,-0.0194,1,1,1,1.33146988267,0.865495925243,1.53838954504,0.676262190725
222,Phil Anderson,Phil_Anderson,2016,http://www.ontheissues.org/Senate/Phil_Anderson.htm,87392.0,0,0.03,-5.0,5.0,-5.0,-5.0,5.0,5.0,5.0,5.0,-5.0,2.5,5.0,-5.0,5.0,-2.5,-5.0,-5.0,-5.0,-2.5,-5.0,5.0,0.0,-40.0,32.5,L,1.10924894636,13.5902024682,6,WI,Wisconsin,0.028,-0.002,0,1,0,,1.03371050924,,
224,Rand Paul,Rand_Paul,2016,http://www.ontheissues.org/Senate/Rand_Paul.htm,1090151.0,1,0.573,5.0,2.5,2.5,-2.5,5.0,2.5,5.0,5.0,-5.0,5.0,5.0,-2.5,5.0,-2.5,-2.5,-2.5,-5.0,5.0,-5.0,2.5,1.0,-12.5,35.0,R,-6.83491535993,14.4500838675,6,KY,Kentucky,0.5822,0.0092,1,1,0,1.02364934561,1.35286957658,0.756650429081,0.804383879283
227,Ray Metcalfe,Ray_Metcalfe,2016,http://www.ontheissues.org/Senate/Ray_Metcalfe.htm,28026.0,0,0.111,-5.0,-5.0,0.0,0.0,-5.0,0.0,-2.5,-5.0,0.0,5.0,-5.0,0.0,-5.0,0.0,0.0,-2.5,0.0,-5.0,-5.0,0.0,0.0,-17.5,-22.5,D,9.57966089906,1.87002176216,1,AK,Alaska,0.4088,0.2978,0,1,0,0.541813054127,8.52724820281,0.063539027039,0.0782463577741
229,Richard Blumenthal,Richard_Blumenthal,2016,http://www.ontheissues.org/Senate/Richard_Blumenthal.htm,986291.0,1,0.629,-5.0,-5.0,-2.5,-2.5,-5.0,-5.0,-2.5,-5.0,2.5,-5.0,-5.0,-2.5,-2.5,-5.0,5.0,-5.0,-2.5,-5.0,0.0,-5.0,1.0,-17.5,-45.0,D,16.6661393383,-2.19005667876,7,CT,Connecticut,0.5958,-0.0332,1,1,0,0.726833944579,1.73054314703,0.42000336474,0.883309150976
231,Richard Burr,Richard_Burr,2016,http://www.ontheissues.org/Senate/Richard_Burr.htm,2371192.0,1,0.511,5.0,0.0,5.0,5.0,5.0,5.0,2.5,2.5,2.5,5.0,5.0,2.5,2.5,5.0,5.0,2.5,5.0,5.0,5.0,5.0,1.0,40.0,40.0,R,-16.6469427819,-2.07389976325,0,NC,North Carolina,0.6095,0.0985,1,1,0,1.08971872804,0.605713818731,1.79906532481,0.782602497394
236,Richard Shelby,Richard_Shelby,2016,http://www.ontheissues.org/Senate/Richard_Shelby.htm,1323184.0,1,0.642,5.0,5.0,5.0,2.5,2.5,2.5,5.0,-2.5,2.5,5.0,5.0,5.0,-2.5,5.0,5.0,2.5,5.0,5.0,5.0,2.5,1.0,35.0,35.0,R,-14.8155870482,-2.36112697252,0,AL,Alabama,0.5556,-0.0864,1,1,0,1.14822187185,1.23089061357,0.932838271078,0.761422217851
240,Rob Maness,Rob_Maness,2016,http://www.ontheissues.org/Senate/Rob_Maness.htm,90812.0,0,0.047,5.0,2.5,5.0,2.5,5.0,0.0,5.0,2.5,2.5,5.0,2.5,5.0,2.5,5.0,5.0,2.5,2.5,5.0,5.0,5.0,0.0,37.5,37.5,R,-15.4818424727,-1.06054674116,0,LA,Louisiana,0.138,0.091,0,1,1,,1.31113448582,,
242,Rob Portman,Rob_Portman,2016,http://www.ontheissues.org/Senate/Rob_Portman.htm,3048467.0,1,0.583,5.0,2.5,0.0,5.0,5.0,2.5,5.0,-2.5,5.0,5.0,5.0,-2.5,5.0,5.0,5.0,2.5,5.0,5.0,2.5,2.5,1.0,25.0,42.5,R,-13.2656446313,-3.20112362153,0,OH,Ohio,0.5617,-0.0213,1,1,1,1.39190296243,0.507358781952,2.7434293284,0.635627916259
244,Robert Marquette,Robert_Marquette,2016,http://www.ontheissues.org/Senate/Robert_Marquette.htm,10521.0,0,0.031,-5.0,0.0,-5.0,0.0,2.5,5.0,0.0,-5.0,-5.0,5.0,5.0,-2.5,-2.5,-2.5,-5.0,-2.5,-5.0,5.0,-5.0,5.0,0.0,-40.0,22.5,L,2.40164528419,10.9570247273,6,ND,North Dakota,0.0158,-0.0152,0,1,0,,7.8453774235,,
250,Ron Crumpton,Ron_Crumpton,2016,http://www.ontheissues.org/Senate/Ron_Crumpton.htm,737542.0,0,0.358,-2.5,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,5.0,-2.5,-5.0,-5.0,2.5,-2.5,-5.0,0.0,-5.0,-5.0,-5.0,0.0,-40.0,-30.0,D,15.4335563769,3.07783232051,2,AL,Alabama,0.4076,0.0496,0,1,0,1.14822187185,1.23089061357,0.932838271078,0.238577782149
252,Ron Johnson,Ron_Johnson,2016,http://www.ontheissues.org/Senate/Ron_Johnson.htm,1478170.0,1,0.502,5.0,2.5,5.0,5.0,5.0,5.0,2.5,5.0,-2.5,5.0,5.0,5.0,2.5,5.0,2.5,-2.5,2.5,5.0,2.5,5.0,1.0,27.5,42.5,R,-15.9909141543,3.64088413743,3,WI,Wisconsin,0.6651,0.1631,1,1,0,1.13561399332,1.03371050924,1.09858029223,0.766158887338
254,Ron Wyden,Ron_Wyden,2016,http://www.ontheissues.org/Senate/Ron_Wyden.htm,1038632.0,1,0.567,-5.0,-5.0,-5.0,-5.0,-2.5,-5.0,-5.0,-2.5,2.5,-5.0,-5.0,-2.5,2.5,-5.0,-2.5,-5.0,-2.5,-5.0,-2.5,-2.5,1.0,-30.0,-37.5,D,17.619364019,1.46649043641,7,OR,Oregon,0.5389,-0.0281,1,1,1,1.38094847605,1.47149494041,0.938466343395,0.643895746385
257,Roy Blunt,Roy_Blunt,2016,http://www.ontheissues.org/Senate/Roy_Blunt.htm,1370240.0,1,0.494,5.0,2.5,5.0,5.0,5.0,5.0,2.5,2.5,2.5,5.0,5.0,2.5,5.0,5.0,5.0,-2.5,5.0,5.0,5.0,2.5,1.0,35.0,42.5,R,-16.2101318831,-2.32165267846,0,MO,Missouri,0.5983,0.1043,1,1,0,1.03038432607,0.982505798331,1.04873103835,0.802253935607
259,Russ Feingold,Russell_Feingold,2016,http://www.ontheissues.org/Senate/Russell_Feingold.htm,1378922.0,0,0.468,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-2.5,-5.0,-5.0,-5.0,-5.0,-5.0,-2.5,-5.0,-5.0,-2.5,-2.5,-5.0,0.0,-42.5,-47.5,D,21.0943676937,4.05405150365,2,WI,Wisconsin,0.5139,0.0459,0,1,0,1.13561399332,1.03371050924,1.09858029223,0.233841112662
265,Scott Milne,Scott_Milne,2016,http://www.ontheissues.org/Senate/Scott_Milne.htm,103266.0,0,0.33,2.5,5.0,-5.0,0.0,2.5,0.0,2.5,-5.0,5.0,2.5,2.5,5.0,0.0,5.0,0.0,-2.5,0.0,5.0,2.5,5.0,0.0,2.5,30.0,R,-6.09837403218,-0.975592738035,5,VT,Vermont,0.3901,0.0601,0,1,0,0.903979266017,8.95750567509,0.100918637264,0.16062887098
268,Sean Haugh,Sean_Haugh,2016,http://www.ontheissues.org/Senate/Sean_Haugh.htm,165319.0,0,0.036,-5.0,5.0,-5.0,2.5,2.5,2.5,5.0,0.0,-5.0,2.5,-2.5,-5.0,2.5,2.5,-5.0,5.0,-5.0,5.0,-2.5,5.0,0.0,-25.0,30.0,L,-0.652766756574,8.99996163114,6,NC,North Carolina,0.037,0.001,0,1,0,,0.605713818731,,
279,Tammy Duckworth,Tammy_Duckworth,2016,http://www.ontheissues.org/Senate/Tammy_Duckworth.htm,2908363.0,1,0.544,-5.0,-5.0,-5.0,0.0,-5.0,-5.0,-5.0,-5.0,2.5,-5.0,-5.0,-5.0,5.0,0.0,-2.5,-5.0,-5.0,-2.5,0.0,-2.5,0.0,-30.0,-30.0,D,16.2763914008,-2.4654384807,7,IL,Illinois,0.463,-0.081,0,0,0,1.25165855995,0.495679206689,2.52513832144,0.282012460292
281,Ted Strickland,Ted_Strickland,2016,http://www.ontheissues.org/Senate/Ted_Strickland.htm,1929873.0,0,0.369,2.5,-5.0,-5.0,-2.5,-5.0,-2.5,-5.0,-5.0,-2.5,2.5,-2.5,-5.0,-5.0,-2.5,2.5,-5.0,-5.0,-2.5,-2.5,-5.0,0.0,-27.5,-32.5,D,13.5661329683,3.11058879565,7,OH,Ohio,0.4895,0.1205,0,1,1,1.39190296243,0.507358781952,2.7434293284,0.364372083741
286,Thomas Clements,Thomas_Clements,2016,http://www.ontheissues.org/Senate/Thomas_Clements.htm,11363.0,0,0.006,-2.5,-2.5,-5.0,5.0,5.0,5.0,2.5,2.5,-5.0,5.0,5.0,2.5,5.0,2.5,-5.0,-2.5,-2.5,5.0,-5.0,5.0,0.0,-17.5,37.5,L,-5.32475331334,9.74198450007,6,LA,Louisiana,0.025,0.019,0,1,1,,1.31113448582,,
287,Thomas Dixon,Thomas_Dixon,2016,http://www.ontheissues.org/Senate/Thomas_Dixon.htm,752001.0,0,0.37,-5.0,0.0,0.0,0.0,-5.0,0.0,-5.0,0.0,-5.0,-5.0,0.0,0.0,-2.5,-5.0,0.0,-5.0,0.0,-5.0,2.5,0.0,0.0,-12.5,-27.5,D,10.4333652023,1.97783281604,1,SC,South Carolina,0.3509,-0.0191,0,1,0,0.749813796365,1.19588823878,0.626993202248,0.121953879663
291,Tim Scott,Tim_Scott,2016,http://www.ontheissues.org/Senate/Tim_Scott.htm,1228844.0,1,0.605,5.0,2.5,5.0,5.0,5.0,5.0,5.0,2.5,0.0,5.0,5.0,5.0,0.0,5.0,5.0,-2.5,2.5,5.0,2.5,5.0,1.0,30.0,42.5,R,-16.4379691462,2.1270538415,3,SC,South Carolina,0.5935,-0.0115,1,1,0,0.749813796365,1.19588823878,0.626993202248,0.878046120337
293,Todd Young,Todd_Young,2016,http://www.ontheissues.org/Senate/Todd_Young.htm,1423001.0,1,0.521,5.0,-2.5,0.0,2.5,5.0,5.0,5.0,2.5,0.0,5.0,5.0,5.0,0.0,-2.5,5.0,-5.0,5.0,5.0,-2.5,5.0,0.0,17.5,30.0,R,-11.21670326,5.76718723028,6,IN,Indiana,0.3989,-0.1221,0,0,0,1.2797485013,0.913495730479,1.40093539422,0.295631632684
302,Wendy Long,Wendy_Long,2016,http://www.ontheissues.org/Senate/Wendy_Long.htm,1865072.0,0,0.274,5.0,5.0,5.0,2.5,5.0,0.0,2.5,5.0,2.5,5.0,5.0,5.0,-5.0,0.0,5.0,-5.0,5.0,2.5,5.0,2.5,0.0,35.0,22.5,R,-12.5536675093,0.892325511047,5,NY,New York,0.267,-0.007,0,1,0,0.141839910759,0.326157009177,0.434882301369,0.0151817095527
