,full_name,first_name,last_name,party,state,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,social,economic,party,x_pca,y_pca,8_clusters
22,Jim_Risch,Jim,Risch,R,ID,5.0,5.0,5.0,5.0,5.0,2.5,5.0,2.5,2.5,5.0,5.0,2.5,0.0,5.0,5.0,2.5,2.5,2.5,5.0,2.5,37.5,37.5,R,-15.6175442134,-0.88293953781,0
23,Richard_Durbin,Richard,Durbin,D,IL,-5.0,-5.0,-5.0,-2.5,-2.5,-2.5,-5.0,-2.5,-2.5,-5.0,-5.0,-5.0,-2.5,-5.0,-5.0,-2.5,-2.5,-5.0,-2.5,-5.0,-35.0,-42.5,D,18.859653854,4.09532241204,2
24,Tammy_Duckworth,Tammy,Duckworth,D,IL,-5.0,-5.0,-5.0,0.0,-5.0,-5.0,-5.0,-5.0,2.5,-5.0,-5.0,-5.0,5.0,0.0,-2.5,-5.0,-5.0,-2.5,0.0,-2.5,-30.0,-30.0,D,16.2763914008,-2.4654384807,7
25,Todd_Young,Todd,Young,R,IN,5.0,-2.5,0.0,2.5,5.0,5.0,5.0,2.5,0.0,5.0,5.0,5.0,0.0,-2.5,5.0,-5.0,5.0,5.0,-2.5,5.0,17.5,30.0,R,-11.21670326,5.76718723028,6
26,Joe_Donnelly,Joe,Donnelly,D,IN,5.0,-5.0,2.5,0.0,-5.0,-5.0,-5.0,-2.5,-2.5,5.0,-2.5,5.0,-5.0,-2.5,2.5,-5.0,2.5,-2.5,5.0,-2.5,12.5,-30.0,D,4.6870313251,-3.17090599018,4
27,Chuck_Grassley,Chuck,Grassley,R,IA,5.0,5.0,5.0,5.0,2.5,2.5,5.0,-2.5,2.5,5.0,5.0,5.0,5.0,5.0,2.5,2.5,5.0,2.5,5.0,2.5,35.0,40.0,R,-15.1155851147,-3.68159968822,0
28,Joni_Ernst,Joni,Ernst,R,IA,5.0,2.5,5.0,5.0,5.0,2.5,5.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.5,5.0,-2.5,5.0,35.0,45.0,R,-17.431505635,5.36014692412,3
29,Pat_Roberts,Pat,Roberts,R,KS,5.0,5.0,5.0,2.5,2.5,5.0,5.0,-2.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.5,2.5,2.5,37.5,42.5,R,-15.9761902548,-2.7535529698,0
30,Jerry_Moran,Jerry,Moran,R,KS,5.0,-2.5,5.0,5.0,2.5,5.0,2.5,2.5,2.5,5.0,5.0,2.5,5.0,5.0,2.5,-2.5,5.0,5.0,5.0,2.5,32.5,35.0,R,-14.0910210379,-3.2315384311,0
31,Mitch_McConnell,Mitch,McConnell,R,KY,5.0,2.5,5.0,2.5,5.0,5.0,5.0,2.5,2.5,5.0,5.0,2.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,40.0,47.5,R,-17.9472550835,-1.6073741521,0
32,Rand_Paul,Rand,Paul,R,KY,5.0,2.5,2.5,-2.5,5.0,2.5,5.0,5.0,-5.0,5.0,5.0,-2.5,5.0,-2.5,-2.5,-2.5,-5.0,5.0,-5.0,2.5,-12.5,35.0,R,-6.83491535993,14.4500838675,6
33,John_Neely_Kennedy,John,Neely Kennedy,R,LA,2.5,-5.0,5.0,0.0,-5.0,-2.5,-2.5,-5.0,5.0,5.0,-2.5,5.0,-5.0,5.0,5.0,-2.5,-2.5,2.5,0.0,2.5,12.5,-7.5,R,-0.581576379553,-2.41683147039,4
34,Bill_Cassidy,Bill,Cassidy,R,LA,5.0,2.5,2.5,5.0,5.0,5.0,5.0,2.5,0.0,5.0,5.0,0.0,0.0,-2.5,0.0,-5.0,2.5,5.0,0.0,0.0,12.5,30.0,R,-10.1339544403,5.72884005836,6
35,Susan_Collins,Susan,Collins,R,ME,-5.0,-5.0,-5.0,2.5,-2.5,2.5,2.5,-5.0,0.0,2.5,5.0,-2.5,2.5,2.5,2.5,-2.5,5.0,-5.0,0.0,-2.5,-10.0,2.5,R,3.79059589317,-4.6014005502,4
36,Angus_King,Angus,King,I,ME,-5.0,-5.0,-5.0,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,2.5,-2.5,2.5,0.0,-2.5,-5.0,2.5,-2.5,2.5,0.0,-22.5,-12.5,I,9.68351927065,-1.95995632669,1
37,Chris_Van_Hollen,Chris,Van Hollen,D,MD,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-2.5,-5.0,-2.5,-5.0,2.5,-5.0,0.0,-5.0,2.5,-5.0,-5.0,-5.0,-35.0,-40.0,D,18.7131416758,1.89611484963,2
38,Elizabeth_Warren,Elizabeth,Warren,D,MA,-5.0,-5.0,-5.0,-2.5,-5.0,-5.0,-2.5,-5.0,-2.5,-5.0,-5.0,-5.0,-2.5,0.0,-2.5,-5.0,-2.5,-5.0,2.5,-5.0,-32.5,-40.0,D,18.2006905339,-2.21185586246,7
39,Ed_Markey,Ed,Markey,D,MA,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-2.5,-2.5,-2.5,-5.0,-2.5,-5.0,-5.0,-5.0,-45.0,-45.0,D,20.9482880629,4.68284415422,2
40,Debbie_Stabenow,Debbie,Stabenow,D,MI,-5.0,-5.0,-5.0,2.5,-5.0,-2.5,-5.0,-5.0,2.5,-5.0,-2.5,-2.5,-2.5,-5.0,-2.5,-5.0,-2.5,-2.5,-5.0,-5.0,-27.5,-40.0,D,16.7837451997,2.300887697,2
41,Gary_Peters,Gary,Peters,D,MI,-5.0,-5.0,-5.0,5.0,-5.0,-5.0,-5.0,-5.0,-2.5,-5.0,-5.0,-2.5,-5.0,-2.5,0.0,-5.0,2.5,-5.0,-5.0,-5.0,-22.5,-47.5,D,17.1882654019,1.11750527779,7
42,Amy_Klobuchar,Amy,Klobuchar,D,MN,-5.0,-5.0,-5.0,0.0,-5.0,-5.0,-2.5,-2.5,2.5,-2.5,-5.0,0.0,-2.5,-2.5,-2.5,-5.0,-2.5,-5.0,2.5,-5.0,-17.5,-40.0,D,15.5225162607,-3.19556814632,7
43,Al_Franken,Al,Franken,D,MN,-5.0,-2.5,-5.0,-2.5,-5.0,-5.0,-2.5,-2.5,-2.5,-5.0,-5.0,-5.0,-2.5,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-42.5,-42.5,D,19.9983845775,6.34568516238,2
