,full_name,first_name,last_name,party,party_full,state,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,social,economic,party,x_pca,y_pca,8_clusters
26,Joe_Donnelly,Joe,Donnelly,D,Democrat,IN,5,-5,2.5,0,-5,-5,-5,-2.5,-2.5,5,-2.5,5,-5,-2.5,2.5,-5,2.5,-2.5,5,-2.5,12.5,-30,D,4.687031325,-3.17090599,4
27,Chuck_Grassley,Chuck,Grassley,R,Republican,IA,5,5,5,5,2.5,2.5,5,-2.5,2.5,5,5,5,5,5,2.5,2.5,5,2.5,5,2.5,35,40,R,-15.11558511,-3.681599688,0
28,Joni_Ernst,Joni,Ernst,R,Republican,IA,5,2.5,5,5,5,2.5,5,5,0,5,5,5,5,5,5,5,2.5,5,-2.5,5,35,45,R,-17.43150564,5.360146924,3
29,Pat_Roberts,Pat,Roberts,R,Republican,KS,5,5,5,2.5,2.5,5,5,-2.5,5,5,5,5,5,5,5,5,5,2.5,2.5,2.5,37.5,42.5,R,-15.97619025,-2.75355297,0
30,Jerry_Moran,Jerry,Moran,R,Republican,KS,5,-2.5,5,5,2.5,5,2.5,2.5,2.5,5,5,2.5,5,5,2.5,-2.5,5,5,5,2.5,32.5,35,R,-14.09102104,-3.231538431,0
31,Mitch_McConnell,Mitch,McConnell,R,Republican,KY,5,2.5,5,2.5,5,5,5,2.5,2.5,5,5,2.5,5,5,5,5,5,5,5,5,40,47.5,R,-17.94725508,-1.607374152,0
32,Rand_Paul,Rand,Paul,R,Republican,KY,5,2.5,2.5,-2.5,5,2.5,5,5,-5,5,5,-2.5,5,-2.5,-2.5,-2.5,-5,5,-5,2.5,-12.5,35,R,-6.83491536,14.45008387,6
33,John_Neely_Kennedy,John,Neely Kennedy,R,Republican,LA,2.5,-5,5,0,-5,-2.5,-2.5,-5,5,5,-2.5,5,-5,5,5,-2.5,-2.5,2.5,0,2.5,12.5,-7.5,R,-0.58157638,-2.41683147,4
34,Bill_Cassidy,Bill,Cassidy,R,Republican,LA,5,2.5,2.5,5,5,5,5,2.5,0,5,5,0,0,-2.5,0,-5,2.5,5,0,0,12.5,30,R,-10.13395444,5.728840058,6
35,Susan_Collins,Susan,Collins,R,Republican,ME,-5,-5,-5,2.5,-2.5,2.5,2.5,-5,0,2.5,5,-2.5,2.5,2.5,2.5,-2.5,5,-5,0,-2.5,-10,2.5,R,3.790595893,-4.60140055,4
36,Angus_King,Angus,King,I,Independent,ME,-5,-5,-5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,2.5,-2.5,2.5,0,-2.5,-5,2.5,-2.5,2.5,0,-22.5,-12.5,I,9.683519271,-1.959956327,1
37,Chris_Van_Hollen,Chris,Van Hollen,D,Democrat,MD,-5,-5,-5,-5,-5,-5,-5,-5,-2.5,-5,-2.5,-5,2.5,-5,0,-5,2.5,-5,-5,-5,-35,-40,D,18.71314168,1.89611485,2
38,Elizabeth_Warren,Elizabeth,Warren,D,Democrat,MA,-5,-5,-5,-2.5,-5,-5,-2.5,-5,-2.5,-5,-5,-5,-2.5,0,-2.5,-5,-2.5,-5,2.5,-5,-32.5,-40,D,18.20069053,-2.211855862,7
39,Ed_Markey,Ed,Markey,D,Democrat,MA,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-2.5,-2.5,-2.5,-5,-2.5,-5,-5,-5,-45,-45,D,20.94828806,4.682844154,2
40,Debbie_Stabenow,Debbie,Stabenow,D,Democrat,MI,-5,-5,-5,2.5,-5,-2.5,-5,-5,2.5,-5,-2.5,-2.5,-2.5,-5,-2.5,-5,-2.5,-2.5,-5,-5,-27.5,-40,D,16.7837452,2.300887697,2
41,Gary_Peters,Gary,Peters,D,Democrat,MI,-5,-5,-5,5,-5,-5,-5,-5,-2.5,-5,-5,-2.5,-5,-2.5,0,-5,2.5,-5,-5,-5,-22.5,-47.5,D,17.1882654,1.117505278,7
42,Amy_Klobuchar,Amy,Klobuchar,D,Democrat,MN,-5,-5,-5,0,-5,-5,-2.5,-2.5,2.5,-2.5,-5,0,-2.5,-2.5,-2.5,-5,-2.5,-5,2.5,-5,-17.5,-40,D,15.52251626,-3.195568146,7
43,Al_Franken,Al,Franken,D,Democrat,MN,-5,-2.5,-5,-2.5,-5,-5,-2.5,-2.5,-2.5,-5,-5,-5,-2.5,-5,-5,-5,-5,-5,-5,-5,-42.5,-42.5,D,19.99838458,6.345685162,2
