,can_id,candidate,topic,value,state
130,7,Charles Schumer,11,-5.0,New York
131,7,Charles Schumer,12,-5.0,New York
132,7,Charles Schumer,13,-2.5,New York
133,7,Charles Schumer,14,-5.0,New York
134,7,Charles Schumer,15,2.5,New York
135,7,Charles Schumer,16,-5.0,New York
136,7,Charles Schumer,17,2.5,New York
137,7,Charles Schumer,18,-5.0,New York
138,7,Charles Schumer,19,2.5,New York
139,7,Charles Schumer,20,-5.0,New York
140,8,Chris Van Hollen,1,-5.0,Maryland
141,8,Chris Van Hollen,2,-5.0,Maryland
142,8,Chris Van Hollen,3,-5.0,Maryland
143,8,Chris Van Hollen,4,-5.0,Maryland
144,8,Chris Van Hollen,5,-5.0,Maryland
145,8,Chris Van Hollen,6,-5.0,Maryland
146,8,Chris Van Hollen,7,-5.0,Maryland
147,8,Chris Van Hollen,8,-5.0,Maryland
148,8,Chris Van Hollen,9,-2.5,Maryland
149,8,Chris Van Hollen,10,-5.0,Maryland
150,8,Chris Van Hollen,11,-2.5,Maryland
151,8,Chris Van Hollen,12,-5.0,Maryland
152,8,Chris Van Hollen,13,2.5,Maryland
153,8,Chris Van Hollen,14,-5.0,Maryland
154,8,Chris Van Hollen,15,0.0,Maryland
155,8,Chris Van Hollen,16,-5.0,Maryland
156,8,Chris Van Hollen,17,2.5,Maryland
157,8,Chris Van Hollen,18,-5.0,Maryland
158,8,Chris Van Hollen,19,-5.0,Maryland
159,8,Chris Van Hollen,20,-5.0,Maryland
160,9,Chris Vance,1,0.0,Washington
161,9,Chris Vance,2,0.0,Washington
162,9,Chris Vance,3,-2.5,Washington
163,9,Chris Vance,4,0.0,Washington
164,9,Chris Vance,5,2.5,Washington
165,9,Chris Vance,6,-2.5,Washington
166,9,Chris Vance,7,5.0,Washington
167,9,Chris Vance,8,-2.5,Washington
168,9,Chris Vance,9,0.0,Washington
169,9,Chris Vance,10,0.0,Washington
170,9,Chris Vance,11,0.0,Washington
171,9,Chris Vance,12,-5.0,Washington
172,9,Chris Vance,13,5.0,Washington
173,9,Chris Vance,14,5.0,Washington
174,9,Chris Vance,15,5.0,Washington
175,9,Chris Vance,16,0.0,Washington
176,9,Chris Vance,17,2.5,Washington
177,9,Chris Vance,18,2.5,Washington
178,9,Chris Vance,19,0.0,Washington
179,9,Chris Vance,20,2.5,Washington
180,10,Charles Grassley,1,5.0,Iowa
181,10,Charles Grassley,2,5.0,Iowa
182,10,Charles Grassley,3,5.0,Iowa
183,10,Charles Grassley,4,5.0,Iowa
184,10,Charles Grassley,5,2.5,Iowa
185,10,Charles Grassley,6,2.5,Iowa
186,10,Charles Grassley,7,5.0,Iowa
187,10,Charles Grassley,8,-2.5,Iowa
188,10,Charles Grassley,9,2.5,Iowa
189,10,Charles Grassley,10,5.0,Iowa
190,10,Charles Grassley,11,5.0,Iowa
191,10,Charles Grassley,12,5.0,Iowa
192,10,Charles Grassley,13,5.0,Iowa
193,10,Charles Grassley,14,5.0,Iowa
194,10,Charles Grassley,15,2.5,Iowa
195,10,Charles Grassley,16,2.5,Iowa
196,10,Charles Grassley,17,5.0,Iowa
197,10,Charles Grassley,18,2.5,Iowa
198,10,Charles Grassley,19,5.0,Iowa
199,10,Charles Grassley,20,2.5,Iowa
200,11,Conner Eldridge,1,-2.5,Arkansas
201,11,Conner Eldridge,2,-5.0,Arkansas
202,11,Conner Eldridge,3,-2.5,Arkansas
