idx,can_id,candidate,topic,value
175,9,Chris Vance,16,0
176,9,Chris Vance,17,2.5
177,9,Chris Vance,18,2.5
178,9,Chris Vance,19,0
179,9,Chris Vance,20,2.5
180,10,Charles Grassley,1,5
181,10,Charles Grassley,2,5
182,10,Charles Grassley,3,5
183,10,Charles Grassley,4,5
184,10,Charles Grassley,5,2.5
185,10,Charles Grassley,6,2.5
186,10,Charles Grassley,7,5
187,10,Charles Grassley,8,-2.5
188,10,Charles Grassley,9,2.5
189,10,Charles Grassley,10,5
190,10,Charles Grassley,11,5
191,10,Charles Grassley,12,5
192,10,Charles Grassley,13,5
193,10,Charles Grassley,14,5
194,10,Charles Grassley,15,2.5
195,10,Charles Grassley,16,2.5
196,10,Charles Grassley,17,5
197,10,Charles Grassley,18,2.5
198,10,Charles Grassley,19,5
199,10,Charles Grassley,20,2.5
200,11,Conner Eldridge,1,-2.5
201,11,Conner Eldridge,2,-5
202,11,Conner Eldridge,3,-2.5
203,11,Conner Eldridge,4,0
204,11,Conner Eldridge,5,-2.5
205,11,Conner Eldridge,6,-5
206,11,Conner Eldridge,7,-2.5
207,11,Conner Eldridge,8,2.5
208,11,Conner Eldridge,9,2.5
209,11,Conner Eldridge,10,5
210,11,Conner Eldridge,11,2.5
211,11,Conner Eldridge,12,-2.5
212,11,Conner Eldridge,13,-5
213,11,Conner Eldridge,14,5
214,11,Conner Eldridge,15,5
215,11,Conner Eldridge,16,-2.5
216,11,Conner Eldridge,17,2.5
217,11,Conner Eldridge,18,0
218,11,Conner Eldridge,19,2.5
219,11,Conner Eldridge,20,2.5
220,12,Dan Carter,1,0
221,12,Dan Carter,2,0
222,12,Dan Carter,3,0
223,12,Dan Carter,4,0
224,12,Dan Carter,5,5
225,12,Dan Carter,6,0
226,12,Dan Carter,7,0
227,12,Dan Carter,8,0
228,12,Dan Carter,9,0
229,12,Dan Carter,10,5
230,12,Dan Carter,11,5
231,12,Dan Carter,12,5
232,12,Dan Carter,13,-5
233,12,Dan Carter,14,5
234,12,Dan Carter,15,5
235,12,Dan Carter,16,-2.5
236,12,Dan Carter,17,5
237,12,Dan Carter,18,0
238,12,Dan Carter,19,5
239,12,Dan Carter,20,5
240,13,Darryl Glenn,1,5
241,13,Darryl Glenn,2,0
242,13,Darryl Glenn,3,5
243,13,Darryl Glenn,4,5
244,13,Darryl Glenn,5,2.5
245,13,Darryl Glenn,6,2.5
246,13,Darryl Glenn,7,5
247,13,Darryl Glenn,8,-2.5
248,13,Darryl Glenn,9,5
249,13,Darryl Glenn,10,5
250,13,Darryl Glenn,11,5
251,13,Darryl Glenn,12,5
252,13,Darryl Glenn,13,0
253,13,Darryl Glenn,14,5
254,13,Darryl Glenn,15,5
255,13,Darryl Glenn,16,-2.5
256,13,Darryl Glenn,17,5
257,13,Darryl Glenn,18,5
258,13,Darryl Glenn,19,-2.5
259,13,Darryl Glenn,20,5
260,14,Deborah Ross,1,-5
261,14,Deborah Ross,2,-5
262,14,Deborah Ross,3,-5
263,14,Deborah Ross,4,0
264,14,Deborah Ross,5,-2.5
265,14,Deborah Ross,6,-5
