idx,candidate,full_name,year,url_name,votes,winner,%_votes_state,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,incumbent,social,economic,party,party_full,x_pca,y_pca,8_clusters,state,state_full,pred,error,winner_pred,is_correct,battleground,relative_marginalchange_impact,relative_impact_voters,relative_impact_donation
82,Evan Bayh,Evan_Bayh,2016,http://www.ontheissues.org/Senate/Evan_Bayh.htm,1157799,0,0.424,-2.5,-5,-5,2.5,-5,0,-5,-5,-2.5,-2.5,-5,-2.5,2.5,-2.5,2.5,-5,2.5,-2.5,-2.5,-5,0,-17.5,-30,D,Democrat,12.67121211,-0.895898166,1,IN,Indiana,0.5107,0.0867,1,0,0,1.279748501,0.91349573,1.400935394
83,Foster Campbell,Foster_Campbell,2016,http://www.ontheissues.org/Senate/Foster_Campbell.htm,337682,0,0.175,0,-5,0,0,-2.5,0,-5,0,2.5,0,5,0,0,0,0,-5,0,0,0,0,0,-2.5,-7.5,D,Democrat,3.236909792,0.24171743,4,LA,Louisiana,0.3568,0.1818,0,1,1,1.353787249,1.311134486,1.032531189
84,Frank Gilbert,Frank_Gilbert,2016,http://www.ontheissues.org/Senate/Frank_Gilbert.htm,43720,0,0.04,2.5,5,-5,2.5,5,2.5,5,-2.5,-2.5,5,5,-2.5,2.5,5,-2.5,-2.5,-5,2.5,-2.5,2.5,0,-20,40,L,Libertarian,-5.181365533,7.20765481,6,AR,Arkansas,0.02,-0.02,0,1,0,,2.068954285,
99,James Lankford,James_Lankford,2016,http://www.ontheissues.org/Senate/James_Lankford.htm,979728,1,0.677,5,5,5,5,5,5,5,5,-5,5,5,5,2.5,5,5,-2.5,5,5,0,2.5,1,27.5,45,R,Republican,-16.88693848,5.413611458,3,OK,Oklahoma,0.6617,-0.0153,1,1,0,0.502390018,1.598027899,0.314381256
100,Jason Kander,Jason_Kander,2016,http://www.ontheissues.org/Senate/Jason_Kander.htm,1283222,0,0.462,-5,-2.5,-5,0,-5,-2.5,5,-5,-2.5,-5,2.5,-2.5,-2.5,-2.5,2.5,-2.5,-2.5,-5,2.5,-2.5,0,-20,-20,D,Democrat,10.91037378,-1.228250512,1,MO,Missouri,0.4214,-0.0406,0,1,0,1.030384326,0.982505798,1.048731038
102,Jay Williams,Jay_Williams,2016,http://www.ontheissues.org/Senate/Jay_Williams.htm,104125,0,0.282,-5,-5,0,0,-5,2.5,-5,0,-5,-2.5,-5,-5,0,-5,0,-2.5,-2.5,-5,-2.5,0,0,-22.5,-30,D,Democrat,12.93571559,4.863289252,2,SD,South Dakota,0.4095,0.1275,0,1,0,0.598483769,7.003093973,0.085459908
108,Jerry Moran,Jerry_Moran,2016,http://www.ontheissues.org/Senate/Jerry_Moran.htm,716661,1,0.624,5,-2.5,5,5,2.5,5,2.5,2.5,2.5,5,5,2.5,5,5,2.5,-2.5,5,5,5,2.5,1,32.5,35,R,Republican,-14.09102104,-3.231538431,0,KS,Kansas,0.5739,-0.0501,1,1,0,0.94269233,2.160536835,0.436323193
109,Jerry Sturgill,Jerry_Sturgill,2016,http://www.ontheissues.org/Senate/Jerry_Sturgill.htm,188104,0,0.278,0,0,0,0,0,0,0,-5,0,2.5,0,0,2.5,0,0,-2.5,0,-2.5,0,2.5,0,-7.5,5,D,Democrat,1.693296617,0.641919889,4,ID,Idaho,0.3472,0.0692,0,1,0,0.635297476,3.7978765,0.167277023
110,Jim Barksdale,Jim_Barksdale,2016,http://www.ontheissues.org/Senate/Jim_Barksdale.htm,1565006,0,0.408,-2.5,-5,0,-2.5,-5,-5,-5,0,0,5,0,-5,-5,-5,5,-5,-5,-5,0,0,0,-15,-30,D,Democrat,10.96563457,1.714864354,1,GA,Georgia,0.3832,-0.0248,0,1,0,0.901826353,0.637326179,1.415015392
112,Jim Gray,Jim_Gray,2016,http://www.ontheissues.org/Senate/Jim_Gray.htm,813222,0,0.427,0,-5,-5,0,-2.5,-5,-2.5,2.5,0,-2.5,0,0,2.5,-2.5,2.5,-5,5,5,-5,-2.5,0,-5,-15,D,Democrat,5.76317265,3.355068314,4,KY,Kentucky,0.4037,-0.0233,0,1,0,1.023649346,1.352869577,0.756650429
