idx,candidate,full_name,year,url_name,votes,winner,%_votes_state,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,incumbent,social,economic,party,party_full,x_pca,y_pca,8_clusters,state,state_full,pred,error,winner_pred,is_correct,battleground,relative_marginalchange_impact,relative_impact_voters,relative_impact_donation
252,Ron Johnson,Ron_Johnson,2016,http://www.ontheissues.org/Senate/Ron_Johnson.htm,1478170,1,0.502,5,2.5,5,5,5,5,2.5,5,-2.5,5,5,5,2.5,5,2.5,-2.5,2.5,5,2.5,5,1,27.5,42.5,R,Republican,-15.99091415,3.640884137,3,WI,Wisconsin,0.6651,0.1631,1,1,0,1.135613993,1.033710509,1.098580292
254,Ron Wyden,Ron_Wyden,2016,http://www.ontheissues.org/Senate/Ron_Wyden.htm,1038632,1,0.567,-5,-5,-5,-5,-2.5,-5,-5,-2.5,2.5,-5,-5,-2.5,2.5,-5,-2.5,-5,-2.5,-5,-2.5,-2.5,1,-30,-37.5,D,Democrat,17.61936402,1.466490436,7,OR,Oregon,0.5389,-0.0281,1,1,1,1.380948476,1.47149494,0.938466343
257,Roy Blunt,Roy_Blunt,2016,http://www.ontheissues.org/Senate/Roy_Blunt.htm,1370240,1,0.494,5,2.5,5,5,5,5,2.5,2.5,2.5,5,5,2.5,5,5,5,-2.5,5,5,5,2.5,1,35,42.5,R,Republican,-16.21013188,-2.321652678,0,MO,Missouri,0.5983,0.1043,1,1,0,1.030384326,0.982505798,1.048731038
259,Russ Feingold,Russell_Feingold,2016,http://www.ontheissues.org/Senate/Russell_Feingold.htm,1378922,0,0.468,-5,-5,-5,-5,-5,-5,-5,-5,-2.5,-5,-5,-5,-5,-5,-2.5,-5,-5,-2.5,-2.5,-5,0,-42.5,-47.5,D,Democrat,21.09436769,4.054051504,2,WI,Wisconsin,0.5139,0.0459,0,1,0,1.135613993,1.033710509,1.098580292
265,Scott Milne,Scott_Milne,2016,http://www.ontheissues.org/Senate/Scott_Milne.htm,103266,0,0.33,2.5,5,-5,0,2.5,0,2.5,-5,5,2.5,2.5,5,0,5,0,-2.5,0,5,2.5,5,0,2.5,30,R,Republican,-6.098374032,-0.975592738,5,VT,Vermont,0.3901,0.0601,0,1,0,0.903979266,8.957505675,0.100918637
268,Sean Haugh,Sean_Haugh,2016,http://www.ontheissues.org/Senate/Sean_Haugh.htm,165319,0,0.036,-5,5,-5,2.5,2.5,2.5,5,0,-5,2.5,-2.5,-5,2.5,2.5,-5,5,-5,5,-2.5,5,0,-25,30,L,Libertarian,-0.652766757,8.999961631,6,NC,North Carolina,0.037,0.001,0,1,0,,0.605713819,
279,Tammy Duckworth,Tammy_Duckworth,2016,http://www.ontheissues.org/Senate/Tammy_Duckworth.htm,2908363,1,0.544,-5,-5,-5,0,-5,-5,-5,-5,2.5,-5,-5,-5,5,0,-2.5,-5,-5,-2.5,0,-2.5,0,-30,-30,D,Democrat,16.2763914,-2.465438481,7,IL,Illinois,0.463,-0.081,0,0,0,1.25165856,0.495679207,2.525138321
281,Ted Strickland,Ted_Strickland,2016,http://www.ontheissues.org/Senate/Ted_Strickland.htm,1929873,0,0.369,2.5,-5,-5,-2.5,-5,-2.5,-5,-5,-2.5,2.5,-2.5,-5,-5,-2.5,2.5,-5,-5,-2.5,-2.5,-5,0,-27.5,-32.5,D,Democrat,13.56613297,3.110588796,7,OH,Ohio,0.4895,0.1205,0,1,1,1.391902962,0.507358782,2.743429328
286,Thomas Clements,Thomas_Clements,2016,http://www.ontheissues.org/Senate/Thomas_Clements.htm,11363,0,0.006,-2.5,-2.5,-5,5,5,5,2.5,2.5,-5,5,5,2.5,5,2.5,-5,-2.5,-2.5,5,-5,5,0,-17.5,37.5,L,Libertarian,-5.324753313,9.7419845,6,LA,Louisiana,0.025,0.019,0,1,1,,1.311134486,
287,Thomas Dixon,Thomas_Dixon,2016,http://www.ontheissues.org/Senate/Thomas_Dixon.htm,752001,0,0.37,-5,0,0,0,-5,0,-5,0,-5,-5,0,0,-2.5,-5,0,-5,0,-5,2.5,0,0,-12.5,-27.5,D,Democrat,10.4333652,1.977832816,1,SC,South Carolina,0.3509,-0.0191,0,1,0,0.749813796,1.195888239,0.626993202
291,Tim Scott,Tim_Scott,2016,http://www.ontheissues.org/Senate/Tim_Scott.htm,1228844,1,0.605,5,2.5,5,5,5,5,5,2.5,0,5,5,5,0,5,5,-2.5,2.5,5,2.5,5,1,30,42.5,R,Republican,-16.43796915,2.127053842,3,SC,South Carolina,0.5935,-0.0115,1,1,0,0.749813796,1.195888239,0.626993202
293,Todd Young,Todd_Young,2016,http://www.ontheissues.org/Senate/Todd_Young.htm,1423001,1,0.521,5,-2.5,0,2.5,5,5,5,2.5,0,5,5,5,0,-2.5,5,-5,5,5,-2.5,5,0,17.5,30,R,Republican,-11.21670326,5.76718723,6,IN,Indiana,0.3989,-0.1221,0,0,0,1.279748501,0.91349573,1.400935394
302,Wendy Long,Wendy_Long,2016,http://www.ontheissues.org/Senate/Wendy_Long.htm,1865072,0,0.274,5,5,5,2.5,5,0,2.5,5,2.5,5,5,5,-5,0,5,-5,5,2.5,5,2.5,0,35,22.5,R,Republican,-12.55366751,0.892325511,5,NY,New York,0.267,-0.007,0,1,0,0.141839911,0.326157009,0.434882301
