,year,candidate,state_abbr,votes,votes_state,max_state,%_votes_state,winner
94,2016,Michael Luick-Thrams,IA,4416,1533850,923280,0.3%,0
95,2016,Mike Crapo,ID,447342,677091,447342,66.1%,1
96,2016,Mike Lee,UT,659769,970511,659769,68.0%,1
97,2016,Mike Workman,OK,355389,1446141,979728,24.6%,0
98,2016,Misty Snow,UT,265674,970511,659769,27.4%,0
99,2016,None of these candidates,NV,42085,1106020,520658,3.8%,0
100,2016,Pat Toomey,PA,2893833,5918063,2893833,48.9%,1
101,2016,Patrick Leahy,VT,191855,312897,191855,61.3%,1
102,2016,Patrick Murphy,FL,4105251,9270422,4822182,44.3%,0
103,2016,Patrick Wiesner,KS,368672,1148761,716661,32.1%,0
104,2016,Patty Judge,IA,546974,1533850,923280,35.7%,0
105,2016,Patty Murray,WA,1765333,2986088,1765333,59.1%,1
106,2016,Paul Fiorino,CO,2738,2534471,1246357,0.1%,0
107,2016,Paul Stanton,FL,196188,9270422,4822182,2.1%,0
108,2016,Pete Diamondstone,VT,3233,312897,191855,1.0%,0
109,2016,Peter Williams,LA,6844,1932481,482380,0.4%,0
110,2016,Phil Anderson,WI,87392,2944484,1478170,3.0%,0
111,2016,Rand Paul,KY,1090151,1903373,1090151,57.3%,1
112,2016,Ray Metcalfe,AK,28026,251644,111382,11.1%,0
113,2016,Ray Writz,ID,41645,677091,447342,6.2%,0
114,2016,Rebel Michael Scarborough,SC,11861,2029830,1228844,0.6%,0
115,2016,Richard Blumenthal,CT,986291,1567124,986291,62.9%,1
116,2016,Richard Burr,NC,2371192,4639177,2371192,51.1%,1
117,2016,Richard Lion,CT,17907,1567124,986291,1.1%,0
118,2016,Richard Shelby,AL,1323184,2060726,1323184,64.2%,1
119,2016,Rob Maness,LA,90812,1932481,482380,4.7%,0
120,2016,Rob Portman,OH,3048467,5227520,3048467,58.3%,1
121,2016,Robert Garrard,KS,63428,1148761,716661,5.5%,0
122,2016,Robert Marquette,ND,10521,341122,267964,3.1%,0
123,2016,Robert Murphy,OK,43345,1446141,979728,3.0%,0
124,2016,Robin Wilson,NY,102238,6799540,4788374,1.5%,0
125,2016,Ron Crumpton,AL,737542,2060726,1323184,35.8%,0
126,2016,Ron Johnson,WI,1478170,2944484,1478170,50.2%,1
127,2016,Ron Wyden,OR,1038632,1831498,1038632,56.7%,1
128,2016,Roy Blunt,MO,1370240,2776136,1370240,49.4%,1
129,2016,Russ Feingold,WI,1378922,2944484,1478170,46.8%,0
130,2016,Scott Milne,VT,103266,312897,191855,33.0%,0
131,2016,Scott Rupert,OH,74682,5227520,3048467,1.4%,0
132,2016,Scott Summers,IL,113965,5344495,2908363,2.1%,0
133,2016,Sean Braddy,OK,40322,1446141,979728,2.8%,0
134,2016,Sean Haugh,NC,165319,4639177,2371192,3.6%,0
135,2016,Shanti Lewallen,OR,56153,1831498,1038632,3.1%,0
136,2016,Steven Machat,FL,26789,9270422,4822182,0.3%,0
137,2016,Steven Reynolds,OR,54915,1831498,1038632,3.0%,0
138,2016,Stoney Fonua,UT,22662,970511,659769,2.3%,0
139,2016,Tammy Duckworth,IL,2908363,5344495,2908363,54.4%,1
140,2016,Ted Gianoutsos,AK,1385,251644,111382,0.6%,0
141,2016,Ted Strickland,OH,1929873,5227520,3048467,36.9%,0
142,2016,Thomas Clements,LA,11363,1932481,482380,0.6%,0
143,2016,Thomas Dixon,SC,752001,2029830,1228844,37.0%,0
144,2016,Tim Scott,SC,1228844,2029830,1228844,60.5%,1
145,2016,Todd Young,IN,1423001,2730165,1423001,52.1%,1
146,2016,Tom Connors,OH,89977,5227520,3048467,1.7%,0
147,2016,Tom Jones,NV,17104,1106020,520658,1.5%,0
148,2016,Tom Sawyer,NV,14163,1106020,520658,1.3%,0
149,2016,Tony Gumina,NV,10719,1106020,520658,1.0%,0
150,2016,Tony Khoury,FL,45604,9270422,4822182,0.5%,0
151,2016,Troy Hebert,LA,9484,1932481,482380,0.5%,0
152,2016,Vinny Mendoza,LA,4923,1932481,482380,0.3%,0
153,2016,Wendy Long,NY,1865072,6799540,4788374,27.4%,0
