Year,state_abbr,candidate,votes
2012,PA,Rayburn Smith,94362
2012,PA,Robert Casey,2943289
2012,PA,Thomas Smith,2453730
2012,RI,Barry Hinckley,144620
2012,RI,Sheldon Whitehouse,265687
2012,TN,Bob Corker,1496668
2012,TN,David Gatchell,6469
2012,TN,James Higdon,8036
2012,TN,Kermit Steck,18490
2012,TN,Mark Clayton,700753
2012,TN,Martin Pleasant,37964
2012,TN,Michel Long,8043
2012,TN,Shaun Crowell,20813
2012,TN,Troy Scoggin,7105
2012,TX,David Collins,67791
2012,TX,John Myers,161462
2012,TX,Paul Sadler,3183314
2012,TX,Ted Cruz,4456599
2012,UT,Baron Hill,0
2012,UT,Daniel Geery,7444
2012,UT,Orrin Hatch,595972
2012,UT,Scott Howell,275880
2012,UT,Shaun McCausland,28367
2012,VA,George Allen,1758857
2012,VA,Timothy Kaine,1944992
2012,VT,Bernard Sanders,208253
2012,VT,Cris Ericson,5912
2012,VT,John MacGovern,72629
2012,VT,Laurel LaFramboise,896
2012,VT,Pete Diamondstone,2511
2012,VT,Peter Moss,2543
2012,WA,Maria Cantwell,1714271
2012,WA,Michael Baumgartner,1135453
2012,WI,Joseph Kexel,61908
2012,WI,Nimrod Allen,16327
2012,WI,Tammy Baldwin,1544274
2012,WI,Tommy Thompson,1377253
2012,WV,Bob Baber,19231
2012,WV,Joe Manchin,394532
2012,WV,John Raese,237825
2012,WY,Joel Otto,6138
2012,WY,John Barrasso,184531
2012,WY,Tim Chesnut,52596
2014,AK,Dan Sullivan,119579
2014,AK,Mark Begich,111668
2014,AK,Mark Fish,9026
2014,AK,Ted Gianoutsos,4725
2014,AR,Mark Pryor,332669
2014,AR,Mark Swaney,16717
2014,AR,Nathan LaFrance,17103
2014,AR,Tom Cotton,476309
2014,CO,Bill Hammons,6217
2014,CO,Cory Gardner,965974
2014,CO,Gaylon Kent,51225
2014,CO,Mark Udall,916245
2014,CO,Raul Acosta,23342
2014,CO,Steve Shogan,28604
2014,DC,David Schwartzman,13703
2014,DC,Glenda Richmond,8947
2014,DC,John Daniel,6399
2014,DC,Paul Strauss,99082
2014,DE,Andrew Groff,4560
2014,DE,Christopher Coons,130645
2014,DE,Kevin Wade,98819
2014,GA,Amanda Swafford,48930
2014,GA,David Perdue,1355392
2014,GA,Michelle Nunn,1154388
2014,HI,Brian Schatz,246720
2014,HI,Cam Cavasso,97972
2014,HI,Michael Kokoski,8936
2014,IA,Bob Quast,5928
2014,IA,Bruce Braley,491708
2014,IA,Douglas Butzier,8315
2014,IA,Joni Ernst,586921
2014,IA,Rick Stewart,26662
2014,IA,Ruth Smith,4711
2014,ID,Jim Risch,285322
2014,ID,Nels Mitchell,151697
2014,IL,Jim Oberweis,1503942
2014,IL,Richard Durbin,1850862
2014,IL,Sharon Hansen,130762
2014,KS,Greg Orman,358898
2014,KS,Pat Roberts,449974
2014,KS,Randall Batson,36002
2014,KY,Alison Lundergan Grimes,584699
2014,KY,David Patterson,44240
2014,KY,Mitch McConnell,806795
2014,LA,Brannon McMorris,13024
2014,LA,Mary Landrieu,618840
2014,LA,Rob Maness,202413
2014,LA,Thomas Clements,14158
2014,LA,Vallian Senegal,3831
2014,LA,Wayne Ables,11318
2014,LA,William Cassidy,602439
2014,LA,William Waymire,4669
2014,MA,Brian Herr,789378
2014,MA,Edward Markey,1285736
2014,ME,Shenna Bellows,189653
2014,ME,Susan Collins,412211
2014,MI,Chris Wahmhoff,26040
2014,MI,Gary Peters,1693781
2014,MI,Jim Fulner,62504
2014,MI,Richard Matkin,37155
2014,MI,Terri Lynn Land,1283850
2014,MN,Al Franken,1052794
2014,MN,Heather Johnson,29686
2014,MN,Mike McFadden,849932
2014,MN,Steve Carlson,47604
2014,MS,Shawn O'Hara,13660
2014,MS,Thad Cochran,370208
2014,MS,Travis Childers,228974
2014,MT,Amanda Curtis,145601
2014,MT,Roger Roots,7712
2014,MT,Steve Daines,210863
2014,NC,Kay Hagan,1364758
2014,NC,Sean Haugh,108183
2014,NC,Thom Tillis,1413269
2014,NE,Ben Sasse,339868
2014,NE,Dave Domina,162874
2014,NE,Jim Jenkins,15513
2014,NE,Todd Watson,6114
2014,NH,Jeanne Shaheen,250722
2014,NH,Scott Brown,234846
2014,NJ,Antonio Sabas,3422
2014,NJ,Cory Booker,1016204
2014,NJ,Eugene Lavergne,3790
2014,NJ,Hank Schroeder,5519
2014,NJ,Jeff Bell,772991
2014,NJ,Jeff Boss,4405
2014,NJ,Joseph Baratelli,16304
2014,NM,Allen Weh,225706
2014,NM,Tom Udall,280074
2014,OK,Aaron DeLozier,7786
2014,OK,James Inhofe,557537
2014,OK,Joan Farr,10534
2014,OK,Matt Silverstein,233932
2014,OK,Ray Woods,9890
2014,OR,Christina Lugo,28897
2014,OR,James Leuenberger,22205
2014,OR,Jeff Merkley,744516
2014,OR,Mike Montchalin,40649
2014,OR,Monica Wehby,498191
2014,RI,John Reed,222776
2014,RI,Mark Zaccaria,92389
2014,SC,Brad Hutto,475532
2014,SC,Lindsey Graham,665605
2014,SC,Thomas Ravenel,47205
2014,SC,Victor Kocher,33481
2014,SD,Gordon Howie,8469
2014,SD,Larry Pressler,47728
2014,SD,Mike Rounds,140721
2014,SD,Rick Weiland,82408
2014,TN,Bartholomew Phillips,2380
2014,TN,C. Salekin,784
2014,TN,Danny Page,7711
2014,TN,Edmund Gauthier,2308
2014,TN,Eric Schechter,1668
2014,TN,Gordon Ball,437175
2014,TN,Joe Wilmoth,36056
2014,TN,Joshua James,5671
2014,TN,Lamar Alexander,849748
2014,TN,Martin Pleasant,12530
2014,TN,Rick Tyler,5751
2014,TN,Tom Emerson,11146
2014,TX,David Alameel,1594252
2014,TX,Emily Sanchez,54587
2014,TX,John Cornyn,2855068
2014,TX,Rebecca Paddock,133467
2014,VA,Ed Gillespie,1054556
2014,VA,Mark Warner,1071283
2014,VA,Robert Sarvis,53396
2014,WV,Bob Baber,5448
2014,WV,John Buckley,7360
2014,WV,Natalie Tennant,155456
2014,WV,Phil Hudok,2544
2014,WV,Shelley Capito,280123
2014,WY,Charlie Hardy,29043
2014,WY,Curt Gottshall,13175
2014,WY,Joseph Porambo,3602
2014,WY,Michael Enzi,119534
2016,AK,Breck Craig,2027
2016,AK,Joe Miller,74245
2016,AK,Lisa Murkowski,111382
2016,AK,Margaret Stock,34579
2016,AK,Ray Metcalfe,28026
2016,AK,Ted Gianoutsos,1385
2016,AL,Richard Shelby,1323184
2016,AL,Ron Crumpton,737542
2016,AR,Conner Eldridge,397970
2016,AR,Frank Gilbert,43720
2016,AR,John Boozman,657856
2016,AZ,Ann Kirkpatrick,839542
2016,AZ,Gary Swing,112151
2016,AZ,John McCain,1089324
2016,CA,Kamala Harris,6495907
2016,CA,Loretta Sanchez,3918486
2016,CO,Arn Menconi,31679
2016,CO,Bill Hammons,8408
2016,CO,Dan Chapin,7471
2016,CO,Darryl Glenn,1149326
2016,CO,Lily Williams,88492
2016,CO,Michael Bennet,1246357
2016,CO,Paul Fiorino,2738
2016,CT,Dan Carter,546489
2016,CT,Jeffery Russell,16437
2016,CT,Richard Blumenthal,986291
2016,CT,Richard Lion,17907
2016,FL,Basil Dalack,22134
2016,FL,Bruce Nathan,52274
2016,FL,Marco Rubio,4822182
2016,FL,Patrick Murphy,4105251
