,year,candidate,state_abbr,votes,votes_state,max_state,%_votes_state,winner
31,2016,David Duke,LA,58581,1932481,482380,3.00%,0
32,2016,Deborah Ross,NC,2102666,4639177,2371192,45.30%,0
33,2016,Derrick Edwards,LA,51724,1932481,482380,2.70%,0
34,2016,Donald Crawford,LA,25503,1932481,482380,1.30%,0
35,2016,Edward Clifford,PA,230562,5918063,2893833,3.90%,0
36,2016,Eliot Glassheim,ND,57976,341122,267964,17.00%,0
37,2016,Eric Navickas,OR,43905,1831498,1038632,2.40%,0
38,2016,Evan Bayh,IN,1157799,2730165,1423001,42.40%,0
39,2016,Foster Campbell,LA,337682,1932481,482380,17.50%,0
40,2016,Frank Gilbert,AR,43720,1099546,657856,4.00%,0
41,2016,Fred Ryman,MO,25194,2776136,1370240,0.90%,0
42,2016,Gary Landrieu,LA,45520,1932481,482380,2.40%,0
43,2016,Gary Swing,AZ,112151,2041017,1089324,5.50%,0
44,2016,Gregory Taylor,LA,1150,1932481,482380,0.10%,0
45,2016,James Germalic,ND,4661,341122,267964,1.40%,0
46,2016,James Lankford,OK,979728,1446141,979728,67.70%,1
47,2016,Jarrod Williams,NV,6864,1106020,520658,0.60%,0
48,2016,Jason Kander,MO,1283222,2776136,1370240,46.20%,0
49,2016,Jay Williams,SD,104125,369619,265494,28.20%,0
50,2016,Jeffery Russell,CT,16437,1567124,986291,1.00%,0
51,2016,Jerry Moran,KS,716661,1148761,716661,62.40%,1
52,2016,Jerry Sturgill,ID,188104,677091,447342,27.80%,0
53,2016,Jerry Trudell,VT,5403,312897,191855,1.70%,0
54,2016,Jim Barksdale,GA,1565006,3835657,2110737,40.80%,0
55,2016,Jim Gray,KY,813222,1903373,1090151,42.70%,0
56,2016,Jim Hennager,IA,17571,1533850,923280,1.10%,0
57,2016,Jim Lindsay,OR,21690,1831498,1038632,1.20%,0
58,2016,Joe Heck,NV,494427,1106020,520658,44.70%,0
59,2016,Joe Miller,AK,74245,251644,111382,29.50%,0
60,2016,John Boozman,AR,657856,1099546,657856,59.80%,1
61,2016,John Carroll,HI,92620,415065,306543,22.30%,0
62,2016,John Fleming,LA,203959,1932481,482380,10.60%,0
63,2016,John Hoeven,ND,267964,341122,267964,78.60%,1
64,2016,John Kennedy,LA,482380,1932481,482380,25.00%,1
65,2016,John McCain,AZ,1089324,2041017,1089324,53.40%,1
66,2016,John Thune,SD,265494,369619,265494,71.80%,1
67,2016,Johnathan McFarland,MO,30413,2776136,1370240,1.10%,0
68,2016,Johnny Isakson,GA,2110737,3835657,2110737,55.00%,1
69,2016,Jonathan Dine,MO,67067,2776136,1370240,2.40%,0
70,2016,Joseph Cao,LA,21011,1932481,482380,1.10%,0
71,2016,Joseph DeMare,OH,84521,5227520,3048467,1.60%,0
72,2016,Joshua Pellerin,LA,7386,1932481,482380,0.40%,0
73,2016,Joy Allison,HI,9096,415065,306543,2.20%,0
74,2016,Kaitlin Marone,LA,4102,1932481,482380,0.20%,0
75,2016,Kamala Harris,CA,6495907,10414393,6495907,62.40%,1
76,2016,Kathy Szeliga,MD,898902,2466499,1488845,36.40%,0
77,2016,Katie McGinty,PA,2793668,5918063,2893833,47.20%,0
78,2016,Kelly Ayotte,NH,353525,738483,354268,47.90%,0
79,2016,Kenton McMillen,IL,172068,5344495,2908363,3.20%,0
80,2016,Le Roy Gillam,LA,4063,1932481,482380,0.20%,0
81,2016,Lily Williams,CO,88492,2534471,1246357,3.50%,0
82,2016,Lisa Murkowski,AK,111382,251644,111382,44.30%,1
83,2016,Loretta Sanchez,CA,3918486,10414393,6495907,37.60%,0
84,2016,Lucy Brenton,IN,149365,2730165,1423001,5.50%,0
85,2016,Maggie Hassan,NH,354268,738483,354268,48.00%,1
86,2016,Marco Rubio,FL,4822182,9270422,4822182,52.00%,1
87,2016,Margaret Flowers,MD,78752,2466499,1488845,3.20%,0
88,2016,Margaret Stock,AK,34579,251644,111382,13.70%,0
89,2016,Mark Beard,OK,27357,1446141,979728,1.90%,0
90,2016,Mark Callahan,OR,616203,1831498,1038632,33.60%,0
91,2016,Mark Kirk,IL,2150099,5344495,2908363,40.20%,0
92,2016,Michael Bennet,CO,1246357,2534471,1246357,49.20%,1
93,2016,Michael Kokoski,HI,6806,415065,306543,1.60%,0
94,2016,Michael Luick-Thrams,IA,4416,1533850,923280,0.30%,0
95,2016,Mike Crapo,ID,447342,677091,447342,66.10%,1
96,2016,Mike Lee,UT,659769,970511,659769,68.00%,1
97,2016,Mike Workman,OK,355389,1446141,979728,24.60%,0
98,2016,Misty Snow,UT,265674,970511,659769,27.40%,0
99,2016,None of these candidates,NV,42085,1106020,520658,3.80%,0
100,2016,Pat Toomey,PA,2893833,5918063,2893833,48.90%,1
101,2016,Patrick Leahy,VT,191855,312897,191855,61.30%,1
102,2016,Patrick Murphy,FL,4105251,9270422,4822182,44.30%,0
103,2016,Patrick Wiesner,KS,368672,1148761,716661,32.10%,0
104,2016,Patty Judge,IA,546974,1533850,923280,35.70%,0
105,2016,Patty Murray,WA,1765333,2986088,1765333,59.10%,1
106,2016,Paul Fiorino,CO,2738,2534471,1246357,0.10%,0
107,2016,Paul Stanton,FL,196188,9270422,4822182,2.10%,0
108,2016,Pete Diamondstone,VT,3233,312897,191855,1.00%,0
109,2016,Peter Williams,LA,6844,1932481,482380,0.40%,0
110,2016,Phil Anderson,WI,87392,2944484,1478170,3.00%,0
111,2016,Rand Paul,KY,1090151,1903373,1090151,57.30%,1
112,2016,Ray Metcalfe,AK,28026,251644,111382,11.10%,0
113,2016,Ray Writz,ID,41645,677091,447342,6.20%,0
114,2016,Rebel Michael Scarborough,SC,11861,2029830,1228844,0.60%,0
115,2016,Richard Blumenthal,CT,986291,1567124,986291,62.90%,1
116,2016,Richard Burr,NC,2371192,4639177,2371192,51.10%,1
117,2016,Richard Lion,CT,17907,1567124,986291,1.10%,0
118,2016,Richard Shelby,AL,1323184,2060726,1323184,64.20%,1
119,2016,Rob Maness,LA,90812,1932481,482380,4.70%,0
120,2016,Rob Portman,OH,3048467,5227520,3048467,58.30%,1
121,2016,Robert Garrard,KS,63428,1148761,716661,5.50%,0
122,2016,Robert Marquette,ND,10521,341122,267964,3.10%,0
123,2016,Robert Murphy,OK,43345,1446141,979728,3.00%,0
124,2016,Robin Wilson,NY,102238,6799540,4788374,1.50%,0
125,2016,Ron Crumpton,AL,737542,2060726,1323184,35.80%,0
126,2016,Ron Johnson,WI,1478170,2944484,1478170,50.20%,1
127,2016,Ron Wyden,OR,1038632,1831498,1038632,56.70%,1
128,2016,Roy Blunt,MO,1370240,2776136,1370240,49.40%,1
129,2016,Russ Feingold,WI,1378922,2944484,1478170,46.80%,0
130,2016,Scott Milne,VT,103266,312897,191855,33.00%,0
131,2016,Scott Rupert,OH,74682,5227520,3048467,1.40%,0
132,2016,Scott Summers,IL,113965,5344495,2908363,2.10%,0
133,2016,Sean Braddy,OK,40322,1446141,979728,2.80%,0
134,2016,Sean Haugh,NC,165319,4639177,2371192,3.60%,0
135,2016,Shanti Lewallen,OR,56153,1831498,1038632,3.10%,0
136,2016,Steven Machat,FL,26789,9270422,4822182,0.30%,0
137,2016,Steven Reynolds,OR,54915,1831498,1038632,3.00%,0
138,2016,Stoney Fonua,UT,22662,970511,659769,2.30%,0
139,2016,Tammy Duckworth,IL,2908363,5344495,2908363,54.40%,1
140,2016,Ted Gianoutsos,AK,1385,251644,111382,0.60%,0
141,2016,Ted Strickland,OH,1929873,5227520,3048467,36.90%,0
142,2016,Thomas Clements,LA,11363,1932481,482380,0.60%,0
143,2016,Thomas Dixon,SC,752001,2029830,1228844,37.00%,0
144,2016,Tim Scott,SC,1228844,2029830,1228844,60.50%,1
145,2016,Todd Young,IN,1423001,2730165,1423001,52.10%,1
146,2016,Tom Connors,OH,89977,5227520,3048467,1.70%,0
147,2016,Tom Jones,NV,17104,1106020,520658,1.50%,0
148,2016,Tom Sawyer,NV,14163,1106020,520658,1.30%,0
149,2016,Tony Gumina,NV,10719,1106020,520658,1.00%,0
150,2016,Tony Khoury,FL,45604,9270422,4822182,0.50%,0
151,2016,Troy Hebert,LA,9484,1932481,482380,0.50%,0
152,2016,Vinny Mendoza,LA,4923,1932481,482380,0.30%,0
153,2016,Wendy Long,NY,1865072,6799540,4788374,27.40%,0
