,state_abbr,year,candidate,party,votes_total
144,MO,2010,Jeff Wirick,W,4
145,MO,2010,Charlie Bailey,W,3
146,MO,2010,Richie Wolfe,W,2
147,MO,2010,Mark Memoly,W,1
148,NV,2010,Harry Reid,DEM,362785
149,NV,2010,Sharron Angle,REP,321361
150,NV,2010,Scott Ashjian,TPN,5811
151,NV,2010,Michael Haines,IND,4261
152,NV,2010,Tim Fasano,IAP,3185
153,NV,2010,Jesse Holland,IND,3175
154,NV,2010,Jeffrey Reeves,IND,2510
155,NV,2010,Wil Stand,IND,2119
156,NH,2010,Kelly Ayotte,REP,273218
157,NH,2010,Paul Hodes,DEM,167545
158,NH,2010,Chris Booth,IND,9194
159,NH,2010,Ken Blevens,LIB,4753
160,NY,2010,Charles Schumer,DEM,3047880
161,NY,2010,Jay Townsend,REP,1480423
162,NY,2010,Colia Clark,GRE,42341
163,NY,2010,Randy Credico,LIB,24871
164,NC,2010,Richard Burr,REP,1458046
165,NC,2010,Elaine Marshall,DEM,1145074
166,NC,2010,Michael Beitler,LIB,55687
167,NC,2010,Jim Nolan,W,64
168,NC,2010,Michael Genay,W,10
169,ND,2010,John Hoeven,REP,181689
170,ND,2010,Tracy Potter,DNL,52955
171,ND,2010,Keith Hanson,LIB,3890
172,OH,2010,Rob Portman,REP,2168742
173,OH,2010,Lee Fisher,DEM,1503297
174,OH,2010,Eric Deaton,CON,65856
175,OH,2010,Michael Pryce,IND,50101
176,OH,2010,Daniel LaBotz,SUS,26454
177,OH,2010,Arthur Sullivan,W,648
178,OK,2010,Tom Coburn,REP,718482
179,OK,2010,Jim Rogers,DEM,265814
180,OK,2010,Stephen Wallace,IND,25048
181,OK,2010,Ronald Dwyer,IND,7807
182,OR,2010,Ron Wyden,DEM,825507
183,OR,2010,Jim Huffman,REP,582227
184,OR,2010,Bruce Cronk,WF,18940
185,OR,2010,Tom Stutzman,PRO,14466
186,PA,2010,Pat Toomey,REP,2028945
187,PA,2010,Joe Sestak,DEM,1948716
188,SC,2010,Jim DeMint,REP,810771
189,SC,2010,Alvin Greene,DEM,364598
190,SC,2010,Tom Clements,GRE,121472
191,SD,2010,John Thune,REP,
192,UT,2010,Mike Lee,REP,390179
193,UT,2010,Sam Granato,DEM,207685
194,UT,2010,Scott Bradley,CON,35937
195,UT,2010,Brian Kamerath,W,20
196,UT,2010,Loy Brunson,W,6
197,UT,2010,Cody Judy,W,2
198,VT,2010,Patrick Leahy,DEM,151281
199,VT,2010,Len Britton,REP,72699
200,VT,2010,Daniel Freilich,IND,3544
201,VT,2010,Cris Ericson,USM,2731
202,VT,2010,Stephen Cain,IND,2356
203,VT,2010,Pete Diamondstone,SUS,1433
204,VT,2010,Johenry Nunes,IND,1021
205,WA,2010,Patty Murray,DEM,1314930
206,WA,2010,Dino Rossi,REP,1196164
207,WI,2010,Ron Johnson,REP,1125999
208,WI,2010,Russ Feingold,DEM,1020958
209,WI,2010,Rob Taylor,CPW,23473
210,WI,2010,Ernest Pagels,W,134
211,WI,2010,Michael LaForest,W,129
212,AZ,2012,Jeff Flake,REP,1024459
213,AZ,2012,Richard Carmona,DEM,943660
214,AZ,2012,Marc Victor,IND,91591
215,CA,2012,Dianne Feinstein,DEM,6538196
216,CA,2012,Elizabeth Emken,REP,4081156
217,CT,2012,Chris Murphy,DEM,815077
218,CT,2012,Linda McMahon,REP,637857
219,CT,2012,Paul Passarelli,LIB,24883
220,DE,2012,Thomas Carper,DEM,265374
221,DE,2012,Kevin Wade,REP,115694
222,DE,2012,Alexander Pires,OTH,15300
223,DE,2012,Andrew Groff,GRN,3191
224,FL,2012,Bill Nelson,DEM,4521534
225,FL,2012,Connie Mack,REP,3457254
226,FL,2012,William Gaylor,NPA,126043
227,FL,2012,Chris Borgia,OTH,82040
228,HI,2012,Mazie Hirono,DEM,266435
229,HI,2012,Linda Lingle,REP,159002
230,IN,2012,Joe Donnelly,DEM,1268407
231,IN,2012,Richard Mourdock,REP,1126832
232,IN,2012,Andrew Horning,LIB,146453
233,ME,2012,Angus King,NPA,368130
234,ME,2012,Charles Summers,REP,213644
235,ME,2012,Cynthia Dill,DEM,91694
236,ME,2012,Stephen Woods,IND,10297
237,ME,2012,Danny Dalton,NPA,6510
238,ME,2012,Andrew Dodge,NPA,6313
239,MD,2012,Benjamin Cardin,DEM,1335706
240,MD,2012,Daniel Bongino,REP,642443
241,MD,2012,Rob Sobhani,UNA,409785
242,MD,2012,Dean Ahmad,LIB,29345
243,MA,2012,Elizabeth Warren,DEM,1678408
244,MA,2012,Scott Brown,REP,1449180
245,MI,2012,Debbie Stabenow,DEM,2732886
246,MI,2012,Pete Hoekstra,REP,1765548
247,MI,2012,Scotty Boman,LIB,84463
248,MI,2012,Harley Mikkelson,GRN,27896
249,MI,2012,Richard Matkin,UST,26022
250,MI,2012,John Litle,OTH,11234
251,MN,2012,Amy Klobuchar,DEM,1856196
252,MN,2012,Kurt Bills,REP,868977
253,MN,2012,Stephen Williams,OTH,73640
254,MN,2012,Tim Davis,GRP,30578
255,MN,2012,Michael Cavlan,OTH,14009
256,MS,2012,Roger Wicker,REP,673223
257,MS,2012,Albert Gore,DEM,472930
258,MS,2012,Thomas Cramer,CST,14486
259,MS,2012,Shawn O'Hara,RP,12559
260,MO,2012,Claire McCaskill,DEM,1484683
261,MO,2012,Todd Akin,REP,1063698
262,MO,2012,Jonathan Dine,LIB,164991
263,MT,2012,Jon Tester,DEM,234465
264,MT,2012,Denny Rehberg,REP,215701
