,state_abbr,year,candidate,party,votes_total
608,PA,2016,Pat Toomey,GOP,2893833
609,PA,2016,Katie McGinty,DEM,2793668
610,PA,2016,Edward Clifford,LIB,230562
611,SC,2016,Tim Scott,GOP,1228844
612,SC,2016,Thomas Dixon,DEM,752001
613,SC,2016,Bill Bledsoe,CST,37124
614,SC,2016,Rebel Michael Scarborough,AMR,11861
615,SD,2016,John Thune,GOP,265494
616,SD,2016,Jay Williams,DEM,104125
617,UT,2016,Mike Lee,GOP,659769
618,UT,2016,Misty Snow,DEM,265674
619,UT,2016,Stoney Fonua,IAP,22662
620,UT,2016,Bill Barron,UNA,22406
621,VT,2016,Patrick Leahy,DEM,191855
622,VT,2016,Scott Milne,GOP,103266
623,VT,2016,Cris Ericson,IND,9140
624,VT,2016,Jerry Trudell,IND,5403
625,VT,2016,Pete Diamondstone,LUN,3233
626,WA,2016,Patty Murray,DEM,1765333
627,WA,2016,Chris Vance,GOP,1220755
628,WI,2016,Ron Johnson,GOP,1478170
629,WI,2016,Russ Feingold,DEM,1378922
630,WI,2016,Phil Anderson,LIB,87392
