,full_name,first_name,last_name,party,state,url,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,social,economic
29,Tammy_Duckworth,Tammy,Duckworth,D,IL,http://www.ontheissues.org/Senate/Tammy_Duckworth.htm,-5,-5,-5,0,-5,-5,-5,-5,3,-5,-5,-5,5,0,-2,-5,-5,-3,0,-3,-29,-31
30,Evan_Bayh,Evan,Bayh,D,IN,http://www.ontheissues.org/Senate/Evan_Bayh.htm,-2,-5,-5,3,-5,0,-5,-5,-2,-3,-5,-2,2,-3,3,-5,3,-3,-2,-5,-14,-32
31,Todd_Young,Todd,Young,R,IN,http://www.ontheissues.org/Senate/Todd_Young.htm,5,-3,0,3,5,5,5,3,0,5,5,5,0,-3,5,-5,5,5,-2,5,19,29
32,Jerry_Moran,Jerry,Moran,R,KS,http://www.ontheissues.org/Senate/Jerry_Moran.htm,5,-3,5,5,2,5,2,3,3,5,5,3,5,5,3,-2,5,5,5,2,35,33
33,Patrick_Wiesner,Patrick,Wiesner,D,KS,http://www.ontheissues.org/Senate/Patrick_Wiesner.htm,0,0,0,0,0,0,-5,0,0,0,2,0,0,0,3,-2,0,5,0,0,1,2
34,Rand_Paul,Rand,Paul,R,KY,http://www.ontheissues.org/Senate/Rand_Paul.htm,5,2,3,-2,5,2,5,5,-5,5,5,-2,5,-3,-2,-2,-5,5,-5,2,-10,33
35,Jim_Gray,Jim,Gray,D,KY,http://www.ontheissues.org/Senate/Jim_Gray.htm,0,-5,-5,0,-3,-5,-3,3,0,-3,0,0,2,-3,3,-5,5,5,-5,-3,-4,-18
36,John_Neely_Kennedy,John,Neely_Kennedy,D,LA,http://www.ontheissues.org/Senate/John_Neely_Kennedy.htm,3,-5,5,0,-5,-3,-3,-5,5,5,-3,5,-5,5,5,-2,-2,2,0,2,14,-10
37,Foster_Campbell,Foster,Campbell,D,LA,http://www.ontheissues.org/Senate/Foster_Campbell.htm,0,-5,0,0,-3,0,-5,0,3,0,5,0,0,0,0,-5,0,0,0,0,-2,-8
38,Chris_Van_Hollen,Chris,Van_Hollen,D,MD,http://www.ontheissues.org/Senate/Chris_Van_Hollen.htm,-5,-5,-5,-5,-5,-5,-5,-5,-2,-5,-3,-5,2,-5,0,-5,3,-5,-5,-5,-34,-41
39,Kathy_Szeliga,Kathy,Szeliga,R,MD,http://www.ontheissues.org/Senate/Kathy_Szeliga.htm,5,-5,5,0,5,2,2,5,5,5,5,5,5,5,3,-5,0,2,5,-3,28,23
40,Margaret_Flowers,Margaret,Flowers,G,MD,http://www.ontheissues.org/Senate/Margaret_Flowers.htm,-5,0,-5,-5,-5,0,-5,-5,-5,-5,0,0,-5,-5,-5,0,-5,-5,0,-5,-35,-35
41,Roy_Blunt,Roy,Blunt,R,MO,http://www.ontheissues.org/Senate/Roy_Blunt.htm,5,2,5,5,5,5,2,3,3,5,5,3,5,5,5,-2,5,5,5,2,37,41
42,Jason_Kander,Jason,Kander,D,MO,http://www.ontheissues.org/Senate/Jason_Kander.htm,-5,-3,-5,0,-5,-3,5,-5,-2,-5,2,-2,-3,-3,3,-2,-2,-5,3,-3,-17,-23
43,Richard_Burr,Richard,Burr,R,NC,http://www.ontheissues.org/Senate/Richard_Burr.htm,5,0,5,5,5,5,2,3,3,5,5,3,2,5,5,3,5,5,5,5,42,39
44,Deborah_Ross,Deborah,Ross,D,NC,http://www.ontheissues.org/Senate/Deborah_Ross.htm,-5,-5,-5,0,-3,-5,-3,5,-5,-5,-5,-5,-5,-5,3,-5,3,-3,-2,-5,-16,-44
45,Sean_Haugh,Sean,Haugh,L,NC,http://www.ontheissues.org/Senate/Sean_Haugh.htm,-5,5,-5,3,2,2,5,0,-5,2,-3,-5,2,2,-5,5,-5,5,-2,5,-24,27
46,John_Hoeven,John,Hoeven,R,ND,http://www.ontheissues.org/Senate/John_Hoeven.htm,5,-3,5,5,5,2,-3,3,3,5,2,3,2,5,0,-2,3,2,3,-3,28,14
47,Eliot_Glassheim,Eliot,Glassheim,D,ND,http://www.ontheissues.org/Senate/Eliot_Glassheim.htm,-2,0,-5,0,-3,-5,0,0,3,2,0,-5,0,0,0,-5,5,-5,0,-5,-9,-16
48,Robert_Marquette,Robert,Marquette,L,ND,http://www.ontheissues.org/Senate/Robert_Marquette.htm,-5,0,-5,0,2,5,0,-5,-5,5,5,-2,-3,-3,-5,-2,-5,5,-5,5,-39,21
49,Kelly_Ayotte,Kelly,Ayotte,R,NH,http://www.ontheissues.org/Senate/Kelly_Ayotte.htm,5,-5,5,0,5,5,5,3,5,5,5,5,0,5,5,-5,5,5,5,5,33,35
50,Maggie_Hassan,Maggie,Hassan,D,NH,http://www.ontheissues.org/Senate/Maggie_Hassan.htm,-5,-5,-5,0,-5,0,-5,3,3,-3,0,3,2,2,3,-2,5,-5,-2,-5,3,-24
51,Jim_Rubens,Jim,Rubens,R,NH,http://www.ontheissues.org/Senate/Jim_Rubens.htm,3,2,-5,0,5,0,5,-5,5,5,5,5,5,5,-2,-5,-2,-5,-2,5,-8,32
52,Catherine_Cortez_Masto,Catherine,Cortez_Masto,D,NV,http://www.ontheissues.org/Senate/Catherine_Cortez_Masto.htm,-5,-5,3,0,-5,-5,-5,-5,3,-3,-3,-5,-5,-3,0,-5,3,-5,-2,-3,-13,-42
53,Joe_Heck,Joe,Heck,R,NV,http://www.ontheissues.org/Senate/Joe_Heck.htm,5,-3,3,0,5,5,5,3,3,5,5,3,-3,2,3,-5,3,5,-2,2,16,28
54,Charles_Schumer,Charles,Schumer,D,NY,http://www.ontheissues.org/Senate/Charles_Schumer.htm,-5,-5,-5,-2,-5,-5,-5,-2,3,-5,-5,-5,-3,-5,3,-5,3,-5,3,-5,-12,-48
55,Wendy_Long,Wendy,Long,R,NY,http://www.ontheissues.org/Senate/Wendy_Long.htm,5,5,5,3,5,0,2,5,3,5,5,5,-5,0,5,-5,5,2,5,2,36,21
56,Rob_Portman,Rob,Portman,R,OH,http://www.ontheissues.org/Senate/Rob_Portman.htm,5,2,0,5,5,2,5,-2,5,5,5,-2,5,5,5,3,5,5,3,2,27,41
57,Ted_Strickland,Ted,Strickland,D,OH,http://www.ontheissues.org/Senate/Ted_Strickland.htm,3,-5,-5,-2,-5,-3,-5,-5,-2,2,-3,-5,-5,-3,3,-5,-5,-3,-2,-5,-25,-35
58,James_Lankford,James,Lankford,R,OK,http://www.ontheissues.org/Senate/James_Lankford.htm,5,5,5,5,5,5,5,5,-5,5,5,5,2,5,5,-2,5,5,0,2,28,44
59,Mike_Workman,Mike,Workman,D,OK,http://www.ontheissues.org/Senate/Mike_Workman.htm,-5,0,-5,0,-5,0,-5,0,0,5,0,-5,-3,0,0,-5,0,-5,0,-3,-20,-16
60,Ron_Wyden,Ron,Wyden,D,OR,http://www.ontheissues.org/Senate/Ron_Wyden.htm,-5,-5,-5,-5,-3,-5,-5,-2,3,-5,-5,-2,2,-5,-2,-5,-2,-5,-2,-3,-27,-39
61,Mark_Callahan,Mark,Callahan,R,OR,http://www.ontheissues.org/Senate/Mark_Callahan.htm,5,0,5,5,5,0,5,5,0,5,5,5,0,5,3,-2,5,5,0,2,31,32
62,Pat_Toomey,Pat,Toomey,R,PA,http://www.ontheissues.org/Senate/Pat_Toomey.htm,5,-3,5,5,2,5,5,5,3,5,5,5,2,5,5,3,5,5,5,5,46,36
63,Katie_McGinty,Katie,McGinty,D,PA,http://www.ontheissues.org/Senate/Katie_McGinty.htm,-5,-5,-5,0,-5,-5,-5,-5,-2,2,-5,-2,-3,-3,5,-5,-5,-3,-2,-3,-26,-35
64,Tim_Scott,Tim,Scott,R,SC,http://www.ontheissues.org/Senate/Tim_Scott.htm,5,2,5,5,5,5,5,3,0,5,5,5,0,5,5,-2,3,5,3,5,32,42
65,Thomas_Dixon,Thomas,Dixon,D,SC,http://www.ontheissues.org/Senate/Thomas_Dixon.htm,-5,0,0,0,-5,0,-5,0,-5,-5,0,0,-3,-5,0,-5,0,-5,3,0,-12,-28
66,John_Thune,John,Thune,R,SD,http://www.ontheissues.org/Senate/John_Thune.htm,5,5,5,5,2,2,2,3,3,5,5,5,5,5,3,-2,5,5,5,5,37,41
67,Jay_Williams,Jay,Williams,D,SD,http://www.ontheissues.org/Senate/Jay_Williams.htm,-5,-5,0,0,-5,2,-5,0,-5,-3,-5,-5,0,-5,0,-2,-2,-5,-2,0,-21,-31
68,Mike_Lee,Mike,Lee,R,UT,http://www.ontheissues.org/Senate/Mike_Lee.htm,5,2,5,5,5,2,2,5,-2,5,5,5,5,5,5,-2,5,5,0,5,31,41
69,Misty_Snow,Misty,Snow,D,UT,http://www.ontheissues.org/Senate/Misty_Snow.htm,-5,-5,-5,0,-5,2,0,-5,-5,-5,0,-5,0,0,0,-5,0,-5,-5,0,-35,-18
70,Patrick_Leahy,Patrick,Leahy,D,VT,http://www.ontheissues.org/Senate/Patrick_Leahy.htm,-2,-5,-5,-5,-5,-5,-5,-5,-2,-3,-5,-5,-3,-5,-2,-2,-5,-5,-5,-5,-38,-46
71,Scott_Milne,Scott,Milne,R,VT,http://www.ontheissues.org/Senate/Scott_Milne.htm,3,5,-5,0,2,0,2,-5,5,2,2,5,0,5,0,-2,0,5,3,5,4,28
72,Patty_Murray,Patty,Murray,D,WA,http://www.ontheissues.org/Senate/Patty_Murray.htm,-5,-5,-5,-5,-5,-5,-5,-5,-2,-5,-5,-5,5,-5,3,-2,-2,-5,-5,-5,-33,-40
73,Chris_Vance,Chris,Vance,R,WA,http://www.ontheissues.org/Senate/Chris_Vance.htm,0,0,-2,0,2,-3,5,-2,0,0,0,-5,5,5,5,0,3,2,0,2,-1,18
74,Ron_Johnson,Ron,Johnson,R,WI,http://www.ontheissues.org/Senate/Ron_Johnson.htm,5,2,5,5,5,5,2,5,-2,5,5,5,2,5,3,-2,3,5,3,5,30,41
75,Russell_Feingold,Russell,Feingold,D,WI,http://www.ontheissues.org/Senate/Russell_Feingold.htm,-5,-5,-5,-5,-5,-5,-5,-5,-2,-5,-5,-5,-5,-5,-2,-5,-5,-3,-2,-5,-41,-48
76,Phil_Anderson,Phil,Anderson,L,WI,http://www.ontheissues.org/Senate/Phil_Anderson.htm,-5,5,-5,-5,5,5,5,5,-5,2,5,-5,5,-3,-5,-5,-5,-3,-5,5,-40,31
